Rank,GM,playerId,optaPersonId,Min,Age,Position,firstName,lastName,player,team,teamId,optaTeamId,leagueId,league,SubOff,SubOn,GWG,SOG,SOTInBox,SOTOBox,BlkdInBox,BlkdOutBox,Off,OffTgtOBox,PenTaken,PenGoal,ShotDirFK,GoalDirFK,GoalInBx,GoalOBx,GoalOP,GoalHead,OfTgHd,SOTHead,GoalLF,GoalRF,ShotLF,ShotRF,PsOpHfFl,PsOnHfFl,PsAtt,PsOnHfScs,PsOpHfScs,ExpG,Goal,Ast,ExpA,BgChnc,BgChncCrtd,ChncSetPl,ChncOpnPl,Chance,X1v1,X1v1InBox,Sc1v1InBox,SucflDuels,Success1v1,ThrghBalls,ThrghBlCmp,Touches,DuelLs,FailTackle,SucflTkls,Int,DefTouch,TcklMade.,Clrnce,HeadClear,Recovery,FlComA3,FlComD3,FlComM3,FlSufA3,FlSufD3,FlSufM3,Offsides,CleanSheet,CrossPunch,ErrGoal,ErrShot,Cleared,KeeperCtch,GoalCncd,GoalCnIBx,GoalCnOBx,PensWon,Saves,SvBody,SvCght,SvClct,SvDive,SvFeet,SvFTip,SvHands,SvInBox,SvOutBox,SvPrdDng,SvPrdSaf,SvReach,SvStand,SvStoop,X2ndYellow,Red,Yellow,BgChncFace,Turnover,Disposs,TchsA3,TchsD3,TchsM3,TouchOpBox,X.PassFwd,Pass.,PsCmpM3,PsCmpA3,PsCmpD3,PsAttD3,PsAttM3,Pull.Back.Passes.Completed,PsDist,ChlngeLost,Aerial.,Aerials,ExpGAg
132,8,6twhs1y8bihm7vc9dib8hgezt,224762,326,20,Right Back,Klaidi,Cela,K. Cela,Forge,c2pdzdl3dgf5b0siidn2ay5ii,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,5,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,26,8,110,39,37,0.33,1,1,0.49,1,1,0,2,2,3,0,0,34,2,0,0,240,22,8,6,5,38,73.70%,18,9,14,0,3,3,2,2,5,1,0,0,0,0,0,0,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,61,78,101,6,42.70%,69.10%,45,15,16,22,65,0,17.4,5,47.40%,19,0
146,5,crmcclu4jvwxf4x0vzzzk7wx6,481760,229,28,Defensive Midfielder,Kouamé,Ouattara,K. Ouattara,HFX Wanderers,5gmx3o5y2oc0i6rowjwtu7jvu,15376,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,7,97,46,31,0.04,0,0,0,0,0,0,0,0,2,0,0,8,2,0,0,124,18,1,2,3,8,60.00%,2,0,12,1,3,7,0,1,1,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,3,10,30,84,1,37.10%,79.40%,58,2,17,22,69,0,15.7,2,25.00%,4,0
135,11,9eatc4jz3lvrdclqxj4k4980l,243860,346,25,Central Midfielder,Philippe,Lincourt-Joseph,P. Lincourt-Joseph,Edmonton,73xrv2025rnj0t3y9ayp83bec,6925,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),2,8,0,1,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,26,8,141,47,60,0.21,0,0,0.4,0,1,2,1,3,6,0,0,28,5,0,0,211,23,6,6,3,20,60.00%,4,2,21,1,0,0,1,1,6,1,0,0,0,0,0,0,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,8,42,38,131,0,39.00%,75.90%,73,19,15,20,97,0,17.3,8,37.50%,8,0
4,28,2zedqkn15thv6wx5xmgv48gd1,140123,2443,29,Central Midfielder,Kyle,Bekker,K. Bekker,Forge,c2pdzdl3dgf5b0siidn2ay5ii,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),2,1,3,19,6,13,5,14,26,17,1,0,9,1,3,1,3,0,1,0,3,1,13,31,199,54,1388,440,695,5.85,4,5,5.29,7,10,11,33,44,25,2,1,63,11,4,1,1783,115,8,17,18,63,50.00%,20,11,162,9,4,16,2,2,7,4,0,0,0,0,0,0,24,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,39,4,25,590,222,971,39,28.50%,81.80%,721,296,118,162,862,0,19.4,25,40.50%,42,0
159,2,ckozved8umsj42boq3tte1byt,39226,50,33,Centre Attacking Midfielder,Marcel,de Jong,M. de Jong,Pacific,b3436h8h14zw7f1uv6w9vqf6y,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,19,5,9,0.14,0,0,0.07,0,0,0,1,1,2,0,0,5,0,0,0,39,2,0,3,0,5,100.00%,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,22,10,7,4,21.10%,73.70%,2,8,4,5,3,0,17.9,0,50.00%,2,0
7,24,37pbdttxfaqvayoufo0q0dxey,453335,1814,20,Left Back,Diyaeddine,Abzi,D. Abzi,York9,cqthcpums3aas2tdy0qhlkuwa,15382,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),2,3,0,11,9,2,3,3,12,9,0,0,0,0,1,0,1,0,1,0,1,0,20,2,141,71,984,467,305,1.56,1,4,3.32,1,5,2,20,22,109,16,7,134,47,0,0,1705,133,13,35,48,134,70.60%,31,11,155,7,7,15,0,8,8,2,0,0,1,0,0,0,22,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,28,28,23,401,474,830,58,36.10%,78.50%,464,101,207,271,577,0,17.7,20,56.10%,41,0
139,5,207co3fpu5mhbs1r0e6p8vze1,231991,450,25,Goalkeeper,Nikolas,Giantsopoulos,N. Giantsopoulos,Cavalry,41ewt71n8fqwy6trsqta1bjvu,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,13,116,77,8,0,0,0,0.04,0,0,0,1,1,0,0,0,4,0,0,0,179,0,0,0,0,2,-,2,0,4,0,0,0,0,4,0,0,3,0,0,0,0,1,4,1,3,0,21,1,2,9,6,1,0,19,10,11,3,7,0,4,11,0,0,0,8,0,0,0,179,0,0,48.30%,73.30%,0,0,85,116,0,0,29.3,0,100.00%,2,5.97
29,25,8uqytik44ro3mbkz0s8m163xm,481762,2003,24,Central Midfielder,Andre,Rampersad,A. Rampersad,HFX Wanderers,5gmx3o5y2oc0i6rowjwtu7jvu,15376,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),2,3,0,6,6,0,2,2,6,4,0,0,0,0,1,0,1,0,1,2,0,1,2,7,91,47,921,472,311,0.76,1,1,1.23,0,1,1,19,20,46,0,0,132,35,2,1,1275,99,15,36,35,128,71.80%,40,24,165,6,6,19,3,4,16,0,0,0,1,0,0,0,27,22,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,38,4,29,145,332,798,21,31.70%,85.00%,530,70,183,210,626,0,18.1,20,61.00%,41,0
162,8,ekpuqpny9mue83orafcamp2i,490180,61,16,Second Striker,Aribim,Pepple,A. Pepple,Cavalry,41ewt71n8fqwy6trsqta1bjvu,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,1,6,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,21,8,0,1,0,1,100.00%,0,0,3,3,0,1,1,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,14,1,6,0,0.00%,77.80%,1,6,0,0,3,0,10.7,0,40.00%,5,0
13,25,ar6i26vtb7c9tjfrlul7pp3v9,108975,1768,26,Central Midfielder,Julian,Büscher,J. Büscher,Cavalry,41ewt71n8fqwy6trsqta1bjvu,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),12,4,1,13,3,10,2,3,14,10,1,0,11,1,2,3,2,0,1,0,0,5,2,24,215,35,1026,386,390,2.76,5,4,6.53,3,12,23,17,41,25,0,0,134,13,2,0,1520,167,18,43,30,109,53.00%,16,8,187,9,7,35,14,11,26,2,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20,8,32,479,234,807,25,35.90%,75.60%,504,164,108,147,652,1,20.9,54,30.60%,36,0
165,0,31r2oi7430d9sm4f9m0yzhp79,74962,0,28,Sub - Goalkeeper,Jordan,Santiago,J. Santiago,Cavalry,41ewt71n8fqwy6trsqta1bjvu,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,0,-,0,0
91,20,6re26cen7xbrynezb3rerst05,112657,1260,25,Centre Attacking Midfielder,Sergio,Camargo,S. Camargo,Cavalry,41ewt71n8fqwy6trsqta1bjvu,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),8,5,2,11,10,1,6,0,7,1,0,0,0,0,6,0,6,0,0,1,1,5,2,15,81,13,387,91,202,5.96,6,3,3.44,9,6,3,19,22,38,9,4,57,17,1,1,621,85,10,8,9,31,56.30%,4,1,68,6,2,2,1,1,13,7,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,6,26,291,47,283,77,24.30%,75.70%,164,108,21,28,204,4,14.5,14,30.80%,26,0
160,1,re7nvdow49fwtuubuavwbvxm,481742,90,28,Goalkeeper,Matthew,Silva,M. Silva,York9,cqthcpums3aas2tdy0qhlkuwa,15382,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,33,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,-,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,34,0,0,54.50%,78.80%,0,0,26,33,0,0,29.8,0,-,0,0.73
152,5,957z9j1c1ktp7h5wzd9kwzbh1,115884,184,27,Centre Forward,Michael,Cox,M. Cox,York9,cqthcpums3aas2tdy0qhlkuwa,15382,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),2,3,0,1,1,0,1,1,3,2,0,0,0,0,0,0,0,0,1,1,0,0,1,1,3,1,33,10,19,0.34,0,0,0.1,0,0,0,2,2,3,0,0,10,0,0,0,61,17,0,1,0,1,100.00%,0,0,3,3,0,1,1,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,5,31,1,29,8,21.20%,87.90%,18,10,1,1,20,0,14.1,0,41.70%,12,0
139,13,1ezmtic5hzvazq7ogvy5vwbu,224759,365,20,Left Attacking Midfielder,Glenn,Muenkat,G. Muenkat,Valour,dd2vf0yzjm7jm7cak9tf11sa2,15378,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,11,0,2,2,0,2,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3,22,6,85,16,41,0.58,0,0,0.16,0,0,0,3,3,18,4,4,24,10,0,0,179,38,2,4,5,13,60.00%,0,0,17,4,1,2,4,0,3,0,0,0,0,0,0,0,5,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,9,89,18,72,16,36.50%,67.10%,26,26,5,9,37,0,14.3,4,8.30%,12,0
52,20,eyu2l3gom8fn098e66e4a6k0l,243967,1784,26,Left Centre Back,Jordan,Murrell,J. Murrell,Valour,dd2vf0yzjm7jm7cak9tf11sa2,15378,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,0,0,3,3,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,122,54,738,344,218,0.74,0,0,0.21,1,0,0,5,5,15,1,0,107,8,0,0,1050,79,18,27,26,139,76.30%,63,33,88,6,11,13,1,9,4,0,0,0,0,0,0,0,33,28,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,56,0,8,95,488,467,11,46.20%,76.20%,297,36,229,315,377,0,21.6,14,63.50%,63,0
14,25,a64n44ysnv4a5napmtzg1o8kq,481766,2053,29,Right Back,André,Bona,A. Bona,HFX Wanderers,5gmx3o5y2oc0i6rowjwtu7jvu,15376,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,3,0,3,3,0,4,0,11,1,0,0,0,0,0,0,0,0,3,0,0,0,4,7,163,88,831,294,286,1.69,0,0,1.29,2,2,4,11,15,43,1,0,150,21,0,0,1510,107,16,50,32,189,85.70%,76,38,161,6,13,12,2,8,3,2,0,0,1,0,0,0,29,26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,36,8,22,344,589,577,47,52.00%,69.80%,283,102,195,292,388,0,17.2,11,65.80%,76,0
84,13,eg3uo03gmym3dhombksuyljop,421822,915,19,Right Centre Back,Emile,Legault,E. Legault,Pacific,b3436h8h14zw7f1uv6w9vqf6y,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,43,26,464,286,109,0.1,0,0,0.03,0,0,0,1,1,12,0,0,61,6,0,0,651,42,9,22,21,97,73.80%,41,15,59,1,6,7,0,8,3,1,0,0,0,1,0,0,19,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,28,4,4,37,347,267,2,36.20%,85.10%,185,18,192,232,211,0,18.7,11,59.10%,22,0
145,9,b6aw65sbptx2dlqsfx64x59m1,423281,199,23,Right Attacking Midfielder,Austin,Ricci,A. Ricci,York9,cqthcpums3aas2tdy0qhlkuwa,15382,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),2,7,0,0,0,0,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,22,8,74,16,28,0.43,0,1,0.37,0,1,1,3,4,13,2,1,20,7,2,0,138,25,4,1,3,10,62.50%,1,0,13,3,4,5,0,1,2,1,0,0,0,0,0,0,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,53,15,70,13,37.80%,59.50%,25,14,5,6,45,0,14.7,3,55.60%,9,0
129,6,ay1hg91asmcve43pfqesll562,481620,540,23,Goalkeeper,Dylon,Powley,D. Powley,Edmonton,73xrv2025rnj0t3y9ayp83bec,6925,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,21,217,98,36,0,0,0,0.04,0,0,0,1,1,1,0,0,3,1,0,0,270,0,0,0,0,2,-,2,0,5,0,0,0,0,1,0,0,1,0,1,0,0,2,9,8,1,0,20,0,1,10,13,4,0,16,15,5,6,3,0,4,3,0,0,0,13,0,0,0,265,5,0,68.20%,61.80%,1,0,133,212,5,0,38.4,0,100.00%,2,8.22
149,8,cdottaalg53zhyz20ee8ta1ud,162327,344,24,Centre Forward,Calum,Ferguson,C. Ferguson,Valour,dd2vf0yzjm7jm7cak9tf11sa2,15378,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),4,4,1,3,3,0,2,0,3,1,0,0,0,0,1,0,1,0,0,0,1,0,1,5,13,3,60,18,26,1.24,1,0,0,1,0,0,0,0,0,0,0,10,0,0,0,102,26,0,4,0,6,44.40%,2,2,8,4,0,2,1,0,1,1,0,0,0,0,0,0,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,49,6,47,14,20.00%,73.30%,28,14,2,4,35,0,11.5,5,25.00%,16,0
165,0,8ev4bh2rm56bbo2zwyndiz3hm,486066,0,19,Sub - Goalkeeper,Chris,Ezoua,C. Ezoua,Edmonton,73xrv2025rnj0t3y9ayp83bec,6925,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,0,-,0,0
121,15,80lmne42x8296d6zo8r23wd05,19992,1139,33,Centre Forward,Michele,Paolucci,M. Paolucci,Valour,dd2vf0yzjm7jm7cak9tf11sa2,15378,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),6,2,2,11,7,4,7,2,9,2,0,0,0,0,2,1,2,0,1,0,2,1,11,8,56,11,191,58,66,3.05,3,2,0.86,2,1,0,6,6,13,4,2,60,8,1,0,343,105,1,6,0,15,33.30%,8,3,23,10,0,5,7,2,17,19,0,0,0,0,0,0,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,47,4,12,154,24,165,55,24.60%,64.90%,78,43,3,8,113,0,14.8,14,24.70%,85,0
137,5,b4fisyd57o49077v5nwv9ex91,82516,192,30,Central Midfielder,Tony,Tchani,T. Tchani,Edmonton,73xrv2025rnj0t3y9ayp83bec,6925,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,3,0,2,1,1,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,25,6,142,46,65,0.45,0,0,0.05,1,0,0,1,1,11,0,0,23,10,0,0,185,16,1,2,3,11,60.00%,4,2,23,0,2,6,0,1,1,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,38,31,116,3,31.70%,78.20%,82,16,13,17,103,0,16.9,2,88.90%,9,0
50,23,c8gbyfp650fgai5782915ywa1,210185,1730,24,Central Midfielder,Elimane,Cissé,E. Cissé,Forge,c2pdzdl3dgf5b0siidn2ay5ii,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),11,2,0,9,7,2,3,1,8,3,0,0,0,0,2,0,2,0,2,0,0,2,3,12,91,23,773,249,410,3.26,2,2,2.53,7,6,3,9,12,36,3,1,105,18,1,0,1089,133,18,31,32,100,63.60%,17,12,151,8,5,15,8,3,7,2,0,0,0,0,0,0,16,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,29,328,157,604,40,26.60%,85.30%,400,181,78,91,460,0,15.6,28,33.90%,59,0
125,8,6qp7j3yg8y4mi6awsjk79hwph,112997,720,25,Goalkeeper,Quillan,Roberts,Q. Roberts,Forge,c2pdzdl3dgf5b0siidn2ay5ii,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,13,210,130,20,0,0,0,0,0,0,0,0,0,1,0,0,6,1,0,0,297,0,0,1,0,3,100.00%,2,0,13,0,0,0,0,2,0,0,4,0,0,1,1,2,9,8,1,0,27,0,1,15,10,2,0,25,17,10,7,4,1,10,6,0,0,0,15,0,0,0,295,2,0,55.70%,71.40%,2,0,148,208,2,0,32.1,0,100.00%,3,9.58
82,16,aisfml98z3uznfzhbopr5kmp5,250775,1440,27,Goalkeeper,Mark,Village,M. Village,Pacific,b3436h8h14zw7f1uv6w9vqf6y,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,33,509,277,60,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,674,1,0,1,1,5,50.00%,3,0,14,0,1,0,0,4,0,0,4,2,0,1,2,10,22,18,4,0,47,0,4,23,20,2,0,45,24,23,5,15,4,10,13,0,0,1,33,0,0,0,674,0,0,56.60%,66.20%,0,0,337,509,0,0,35.8,1,100.00%,3,20.98
39,26,ex7za2yvl9xrcdtr60ake2bit,222921,2340,26,Goalkeeper,Nathan,Ingham,N. Ingham,York9,cqthcpums3aas2tdy0qhlkuwa,15382,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,53,874,477,144,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,1170,1,0,0,0,12,-,12,1,38,0,0,0,0,13,0,0,6,12,0,1,6,17,34,25,9,0,88,6,9,30,52,12,0,70,60,28,12,37,1,14,21,0,0,0,44,0,0,0,1161,9,0,69.50%,71.10%,3,0,618,867,7,0,35,0,93.80%,16,28.57
83,18,1kz50yz5flax19tm42u3m83bp,160004,881,26,Central Midfielder,Edem,Mortotsi,E. Mortotsi,Edmonton,73xrv2025rnj0t3y9ayp83bec,6925,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),3,9,0,8,4,4,2,4,8,7,0,0,0,0,0,0,0,0,0,1,0,0,7,8,85,18,459,163,193,1.35,0,2,1.11,1,1,7,5,12,22,3,2,64,14,2,1,654,58,12,12,9,36,61.50%,3,1,78,2,2,11,4,3,9,0,0,0,0,0,0,0,14,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,6,10,152,102,400,15,36.80%,77.60%,259,42,55,73,324,0,20.6,15,40.00%,25,0
154,2,759r7l0y8jofaf394tnc7ytt6,481629,137,18,Right Midfielder,Prince,Amanda,P. Amanda,Edmonton,73xrv2025rnj0t3y9ayp83bec,6925,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),2,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,7,2,30,8,13,0.16,1,1,0.41,0,1,0,1,1,4,3,3,9,3,0,0,54,8,1,1,3,6,50.00%,1,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,28,7,19,8,20.00%,70.00%,9,9,3,4,10,0,12.9,2,50.00%,6,0
58,18,7ta110w4agnmtkjsfpgilj2wa,481559,1497,31,Right Centre Back,Jonathan,Wheeldon,J. Wheeldon,Cavalry,41ewt71n8fqwy6trsqta1bjvu,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),3,1,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,99,37,782,539,107,0.75,0,0,0.07,0,0,0,1,1,2,0,0,66,2,0,0,935,43,4,12,14,103,88.90%,71,28,62,1,3,8,0,4,2,0,0,0,1,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,0,3,22,640,273,15,36.10%,82.60%,194,5,447,523,251,0,23.9,2,60.90%,69,0
3,25,622w13rktz2os2jlo286col3p,168505,2159,24,Central Midfielder,Manuel,Aparicio,M. Aparicio,York9,cqthcpums3aas2tdy0qhlkuwa,15382,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),6,0,1,12,4,8,3,5,21,17,0,0,1,1,0,2,1,0,3,1,0,2,4,25,232,53,1273,384,604,2.3,2,2,2.2,2,1,2,35,37,91,5,2,149,43,2,1,1788,204,27,29,31,98,53.30%,8,3,160,22,8,26,9,5,23,1,0,0,0,0,0,0,30,24,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,37,20,41,492,249,1047,47,36.90%,77.60%,668,197,123,172,837,0,17.5,49,34.20%,38,0
87,16,elyp1bpa1kq1hl6sigml22jf9,184380,1440,28,Goalkeeper,Tyson,Farago,T. Farago,Valour,dd2vf0yzjm7jm7cak9tf11sa2,15378,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,30,483,215,59,0,0,0,0.21,0,0,0,3,3,0,0,0,6,0,0,0,643,4,2,0,0,8,40.00%,6,0,18,0,0,0,0,3,0,0,2,1,0,0,1,13,30,26,4,0,47,3,3,22,14,4,0,38,31,16,7,15,2,18,13,0,0,0,49,0,0,0,641,2,0,68.50%,56.70%,0,0,274,481,2,0,39.9,3,80.00%,5,27.92
141,4,b4fvyjouvib12km5n7fa11n85,243852,352,28,Right Centre Back,Chakib,Hocine,C. Hocine,HFX Wanderers,5gmx3o5y2oc0i6rowjwtu7jvu,15376,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,13,127,71,23,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,161,9,0,2,8,22,100.00%,12,5,16,2,3,2,0,1,0,0,0,0,0,0,0,0,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,113,48,0,45.70%,74.00%,34,0,60,83,44,0,23.3,0,75.00%,8,0
53,23,41yxh6wtv2lrs3js0y2ir7svd,223135,1766,24,Left Midfielder,Bruno,Zebie,B. Zebie,Edmonton,73xrv2025rnj0t3y9ayp83bec,6925,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),7,3,0,6,3,3,2,2,8,4,0,0,0,0,1,0,1,0,1,0,1,0,8,5,82,35,683,292,274,1.56,1,0,0.54,2,0,0,8,8,42,3,1,99,15,0,0,1049,107,17,29,21,81,70.80%,13,2,91,4,6,7,6,3,15,4,0,0,0,0,0,0,22,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,31,18,34,277,234,538,29,30.50%,82.90%,342,119,105,132,404,0,15.1,19,44.40%,36,0
31,22,djsh03luk6mlcoqsqfexadd9m,445788,1756,26,Left Centre Back,Bertrand,Owundi,B. Owundi,Forge,c2pdzdl3dgf5b0siidn2ay5ii,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,3,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,129,51,1052,610,262,0.33,0,0,0,0,0,0,0,0,5,0,0,72,5,0,0,1266,60,6,13,24,138,70.40%,92,44,92,4,5,8,0,5,7,1,0,0,0,1,0,0,20,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,32,0,6,18,607,641,5,41.30%,82.90%,513,8,351,438,603,0,20.4,8,53.70%,67,0
