Rank,GM,playerId,optaPersonId,Min,Age,Position,firstName,lastName,player,team,teamId,optaTeamId,leagueId,league,SubOff,SubOn,GWG,SOG,SOTInBox,SOTOBox,BlkdInBox,BlkdOutBox,Off,OffTgtOBox,PenTaken,PenGoal,ShotDirFK,GoalDirFK,GoalInBx,GoalOBx,GoalOP,GoalHead,OfTgHd,SOTHead,GoalLF,GoalRF,ShotLF,ShotRF,PsOpHfFl,PsOnHfFl,PsAtt,PsOnHfScs,PsOpHfScs,ExpG,Goal,Ast,ExpA,BgChnc,BgChncCrtd,ChncSetPl,ChncOpnPl,Chance,X1v1,X1v1InBox,Sc1v1InBox,SucflDuels,Success1v1,ThrghBalls,ThrghBlCmp,Touches,DuelLs,FailTackle,SucflTkls,Int,DefTouch,TcklMade.,Clrnce,HeadClear,Recovery,FlComA3,FlComD3,FlComM3,FlSufA3,FlSufD3,FlSufM3,Offsides,CleanSheet,CrossPunch,ErrGoal,ErrShot,Cleared,KeeperCtch,GoalCncd,GoalCnIBx,GoalCnOBx,PensWon,Saves,SvBody,SvCght,SvClct,SvDive,SvFeet,SvFTip,SvHands,SvInBox,SvOutBox,SvPrdDng,SvPrdSaf,SvReach,SvStand,SvStoop,X2ndYellow,Red,Yellow,BgChncFace,Turnover,Disposs,TchsA3,TchsD3,TchsM3,TouchOpBox,X.PassFwd,Pass.,PsCmpM3,PsCmpA3,PsCmpD3,PsAttD3,PsAttM3,Pull.Back.Passes.Completed,PsDist,ChlngeLost,Aerial.,Aerials,ExpGAg
117,19,zrowi3rzq9fndgtn1qozene1,421828,652,19,Centre Forward,José,Hernández,J. Hernández,Pacific,b3436h8h14zw7f1uv6w9vqf6y,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),5,13,0,7,5,2,6,2,4,1,0,0,0,0,1,0,1,1,2,3,0,0,1,5,33,10,192,53,96,1.84,1,2,1.39,2,2,0,6,6,25,6,1,62,9,0,0,382,98,5,17,5,32,57.90%,4,3,39,10,5,9,5,6,8,6,0,0,0,0,0,0,11,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20,8,25,172,64,146,30,21.40%,77.60%,70,62,17,25,89,0,12.9,16,31.60%,38,0
62,18,ddyudctrqh7j4vqoofwg0oull,232384,1275,20,Right Back,Malyk,Hamilton,M. Hamilton,Cavalry,41ewt71n8fqwy6trsqta1bjvu,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),3,4,0,1,1,0,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,62,28,604,295,219,0.55,0,2,0.73,1,1,2,6,8,26,1,0,64,14,0,0,922,57,12,19,8,57,63.30%,12,7,82,2,2,9,3,7,2,4,0,0,0,0,0,0,12,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,6,14,215,320,387,17,35.40%,85.10%,246,103,165,193,284,0,16.4,18,70.00%,10,0
113,17,4vhdwaliha28vptlj0onscfe1,243854,841,24,Right Attacking Midfielder,Zachary,Sukunda,Z. Sukunda,HFX Wanderers,5gmx3o5y2oc0i6rowjwtu7jvu,15376,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),7,7,0,2,1,1,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,41,17,253,85,110,0.27,0,0,0.28,0,0,0,6,6,12,0,0,31,9,0,0,400,47,2,7,7,27,60.00%,11,6,39,3,1,5,1,0,9,1,0,0,0,0,0,0,16,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,20,126,69,205,9,29.60%,77.10%,110,60,25,39,138,0,15.7,6,33.30%,15,0
118,8,92cutl9629yad2jm1srr6rzzd,421830,720,19,Left Centre Back,Yohan,Le Bourhis,Y. Le Bourhis,Valour,dd2vf0yzjm7jm7cak9tf11sa2,15378,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,48,37,250,116,49,0.3,0,0,0,1,0,0,0,0,1,0,0,29,1,0,0,361,32,3,9,5,60,80.00%,41,20,30,0,4,5,0,1,1,0,0,0,1,0,0,0,20,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,4,7,223,131,3,52.80%,66.00%,73,1,91,137,110,0,22.5,3,45.20%,31,0
45,22,9sqefuu2tn9n1efnv2q56ay1h,202345,1894,26,Right Centre Back,Skylar,Thomas,S. Thomas,Valour,dd2vf0yzjm7jm7cak9tf11sa2,15378,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,1,0,3,3,0,2,0,9,0,0,0,0,0,0,0,0,0,7,2,0,0,2,1,126,60,855,484,185,0.93,0,1,1.49,0,3,3,5,8,4,0,0,113,4,0,0,1119,74,13,24,23,164,77.10%,102,46,100,4,9,11,1,5,1,1,0,0,0,1,0,0,34,30,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,54,0,8,43,667,409,22,46.70%,78.20%,288,14,367,465,369,0,21.3,11,64.40%,101,0
79,21,8qfl6f1hxzl6w4hcyxkv97sru,483063,1389,21,Centre Forward,Tomasz,Skublak,T. Skublak,HFX Wanderers,5gmx3o5y2oc0i6rowjwtu7jvu,15376,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),4,6,0,13,11,2,6,2,16,6,0,0,0,0,1,0,1,0,7,1,0,1,1,20,107,12,400,99,182,4.78,1,1,1.48,8,1,1,19,20,51,8,5,142,27,0,0,698,132,5,13,10,39,72.00%,11,10,44,17,0,15,11,2,28,11,0,0,0,0,0,0,21,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,23,12,31,296,38,364,74,25.80%,70.30%,162,109,10,14,228,0,14.5,7,56.80%,111,0
15,20,2rv2jwanai39vawrmnws6vidx,231697,1746,24,Central Midfielder,Alexander,Gonzalez Moreno,A. Gonzalez,Pacific,b3436h8h14zw7f1uv6w9vqf6y,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),3,0,0,4,1,3,0,1,10,10,0,0,0,0,0,0,0,0,0,0,0,0,4,10,118,57,1251,664,412,1.14,0,2,1.21,1,3,0,8,8,29,0,0,117,24,1,0,1499,99,18,29,21,83,66.20%,15,6,163,5,11,18,2,11,18,0,0,0,0,0,0,0,32,28,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,51,2,20,136,464,899,3,31.50%,86.00%,673,57,346,393,775,0,17.6,24,44.70%,38,0
93,18,999aky7w22iv11ny6d6w57g4q,481765,1489,23,Goalkeeper,Christian,Oxner,C. Oxner,HFX Wanderers,5gmx3o5y2oc0i6rowjwtu7jvu,15376,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,37,397,176,52,0,0,0,0.05,0,0,0,1,1,0,0,0,10,0,0,0,595,5,0,0,1,8,0.00%,7,1,9,0,2,0,0,2,0,0,6,15,0,1,3,10,16,14,2,0,43,0,1,14,21,4,0,38,30,13,10,18,1,12,9,0,0,2,28,0,0,0,595,0,0,69.80%,57.40%,0,0,228,397,0,0,36.3,1,81.80%,11,17.84
144,3,1bujk463ltexilqfs1lhy9wwl,68500,255,34,Central Midfielder,Josip,Golubar,J. Golubar,Valour,dd2vf0yzjm7jm7cak9tf11sa2,15378,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,4,110,37,49,0.1,0,0,0.96,0,2,0,3,3,5,1,0,12,4,0,0,142,19,2,2,1,6,66.70%,1,1,15,1,1,6,1,0,2,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,41,12,89,7,29.10%,78.20%,56,22,8,9,72,0,12.2,2,20.00%,5,0
85,19,2182gm4uwq97qv5c65jfes5hx,195296,1240,27,Right Midfielder,Juan Diego,Gutiérrez,J. Gutiérrez,HFX Wanderers,5gmx3o5y2oc0i6rowjwtu7jvu,15376,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),7,5,1,5,2,3,1,3,7,6,0,0,1,0,1,1,2,1,0,1,1,0,9,2,65,14,353,93,181,1.21,2,0,0.99,1,1,8,4,12,36,4,1,87,12,0,0,648,103,9,15,11,41,54.50%,5,3,77,9,5,10,9,5,25,4,0,0,0,0,0,0,15,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23,10,27,245,100,303,20,37.70%,77.60%,165,78,31,39,210,0,17.8,20,44.80%,29,0
